nct_id_i,nct_id_j,similarity
NCT03425279,NCT05291091,0.7602964994161727
NCT03425279,NCT05357950,0.7880556368595897
NCT03425279,NCT05481879,0.7725441034262773
NCT03425279,NCT05693142,0.6860270889278582
NCT03425279,NCT05696717,0.6998746795842192
NCT03425279,NCT05731544,0.7708537371389611
NCT03425279,NCT06079736,0.7338550583716191
NCT03425279,NCT06185673,0.41921570994384916
NCT03425279,NCT06204809,0.7217176271184769
NCT03425279,NCT06255782,0.7428159491037271
NCT03425279,NCT06377930,0.7078294856929942
NCT03425279,NCT06601192,0.6924292953213651
NCT03425279,NCT06663137,0.865391289303092
NCT03425279,NCT06736509,0.7457024076952294
NCT03425279,NCT05579249,0.6639390967414555
NCT03425279,NCT06034275,0.8582417734211331
NCT03425279,NCT05065411,0.8943548307004602
NCT03425279,NCT05424276,0.6876019807395548
NCT03425279,NCT04887298,0.6765823193969966
NCT03425279,NCT04073498,0.7065664513403985
NCT03425279,NCT03959527,0.737534138495149
NCT03425279,NCT04469595,0.7344771366850537
NCT03425279,NCT04370054,0.7437052572099568
NCT03464019,NCT03059992,0.5776615260416587
NCT03464019,NCT03257033,0.7062899424431642
NCT03464019,NCT03363841,0.8073305341814525
NCT03464019,NCT03417102,0.6525723946672967
NCT03464019,NCT03425279,0.7356114012417192
NCT03464019,NCT03464019,1.0000000000000009
NCT03464019,NCT03504488,0.7883303753520532
NCT03464019,NCT04003467,0.5679823647808083
NCT03464019,NCT04153149,0.854698197433521
NCT03464019,NCT04163185,0.8077913624564608
NCT03464019,NCT04180488,0.8192026421576648
NCT03464019,NCT04524273,0.7878936364309927
NCT03464019,NCT04544293,0.7334979117794674
NCT03464019,NCT05059223,0.818797118540138
NCT03464019,NCT05085366,0.9080418765832298
NCT03464019,NCT05109091,0.8723322719247995
NCT03464019,NCT05208944,0.6041049979022812
NCT03464019,NCT05291091,0.9347752199723172
NCT03464019,NCT05357950,0.6753845687949516
NCT03464019,NCT05481879,0.7056341917812464
NCT03464019,NCT05693142,0.7096097431984144
NCT03464019,NCT05696717,0.9275582321581222
NCT03464019,NCT05731544,0.7902596159473081
NCT03464019,NCT06079736,0.6280382810739538
NCT03464019,NCT06185673,0.3880020640647345
NCT03464019,NCT06204809,0.742777570328316
